127.0.0.1, 2019-04-25 19:30:21, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2019-04-25 19:30:21, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-04-25 19:30:21, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-04-25 19:30:30, GET, /admin/default/index, HTTP/1.1, 200, 0.153646
127.0.0.1, 2019-04-25 19:30:30, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-04-25 19:30:30, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-04-25 19:30:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-04-25 19:30:32, POST, /admin/default/index, HTTP/1.1, 303, 0.015615
127.0.0.1, 2019-04-25 19:30:32, GET, /admin/default/site, HTTP/1.1, 200, 0.037754
127.0.0.1, 2019-04-25 19:30:32, GET, /admin/static/_2.18.5/images/folder_locked.png, HTTP/1.1, 200, 0.015606
127.0.0.1, 2019-04-25 19:30:32, GET, /admin/static/_2.18.5/images/folder.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-04-25 19:30:32, GET, /admin/static/_2.18.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-04-25 19:30:32, POST, /admin/default/check_version, HTTP/1.1, 200, 0.278730
127.0.0.1, 2019-04-25 19:30:36, GET, /HW2/default/index, HTTP/1.1, 500, 0.131505
127.0.0.1, 2019-04-25 19:30:37, GET, /admin/default/ticket/HW2/127.0.0.1.2019-04-25.19-30-35.710d2a57-e749-4185-b62e-dd36a39afbea, HTTP/1.1, 200, 0.031240
127.0.0.1, 2019-04-25 19:30:38, GET, /admin/static/_2.18.5/images/help.png, HTTP/1.1, 200, 0.000000
